B0001	מעגל בקרת כרית אוויר נהג שלב 1 - תקלה / נתק	Driver Frontal Stage 1 Deployment Control
B0002	תקלה B0002 - Driver Frontal Stage 2 Deployment Control	Driver Frontal Stage 2 Deployment Control
B0003	תקלה B0003 - Driver Frontal Stage 3 Deployment Control	Driver Frontal Stage 3 Deployment Control
B0004	תקלה B0004 - Driver Knee Bolster Deployment Control	Driver Knee Bolster Deployment Control
B0005	תקלה B0005 - Collapsible Steering Column Deployment Control	Collapsible Steering Column Deployment Control
B0010	תקלה B0010 - Passenger Frontal Stage 1 Deployment Control	Passenger Frontal Stage 1 Deployment Control
B0011	תקלה B0011 - Passenger Frontal Stage 2 Deployment Control	Passenger Frontal Stage 2 Deployment Control
B0012	תקלה B0012 - Passenger Frontal Stage 3 Deployment Control	Passenger Frontal Stage 3 Deployment Control
B0013	תקלה B0013 - Passenger Knee Bolster Deployment Control	Passenger Knee Bolster Deployment Control
B0018	תקלה B0018 - Center Frontal Stage 1 Deployment Control	Center Frontal Stage 1 Deployment Control
B0019	תקלה B0019 - Center Frontal Stage 2 Deployment Control	Center Frontal Stage 2 Deployment Control
B001A	תקלה B001A - Center Frontal Stage 3 Deployment Control	Center Frontal Stage 3 Deployment Control
B0020	שמאל Side Airbag Deployment Control	Left Side Airbag Deployment Control
B0021	שמאל Curtain Deployment Control 1	Left Curtain Deployment Control 1
B0022	שמאל Curtain Deployment Control 2	Left Curtain Deployment Control 2
B0028	ימין Side Airbag Deployment Control	Right Side Airbag Deployment Control
B0029	ימין Curtain Deployment Control 1	Right Curtain Deployment Control 1
B002A	ימין Curtain Deployment Control 2	Right Curtain Deployment Control 2
B0030	Second Row שמאל Side Airbag Deployment Control	Second Row Left Side Airbag Deployment Control
B0031	Second Row שמאל Frontal Stage 1 Deployment Control	Second Row Left Frontal Stage 1 Deployment Control
B0032	Second Row שמאל Frontal Stage 2 Deployment Control	Second Row Left Frontal Stage 2 Deployment Control
B0033	Second Row שמאל Frontal Stage 3 Deployment Control	Second Row Left Frontal Stage 3 Deployment Control
B0038	Second Row ימין Side Airbag Deployment Control	Second Row Right Side Airbag Deployment Control
B0039	Second Row ימין Frontal Stage 1 Deployment Control	Second Row Right Frontal Stage 1 Deployment Control
B003A	Second Row ימין Frontal Stage 2 Deployment Control	Second Row Right Frontal Stage 2 Deployment Control
B003B	Second Row ימין Frontal Stage 3 Deployment Control	Second Row Right Frontal Stage 3 Deployment Control
B0040	Third Row שמאל Side Airbag Deployment Control	Third Row Left Side Airbag Deployment Control
B0041	Third Row שמאל Frontal Stage 1 Deployment Control	Third Row Left Frontal Stage 1 Deployment Control
B0042	Third Row שמאל Frontal Stage 2 Deployment Control	Third Row Left Frontal Stage 2 Deployment Control
B0043	Third Row שמאל Frontal Stage 3 Deployment Control	Third Row Left Frontal Stage 3 Deployment Control
B0048	Third Row ימין Side Airbag Deployment Control	Third Row Right Side Airbag Deployment Control
B0049	Third Row ימין Frontal Stage 1 Deployment Control	Third Row Right Frontal Stage 1 Deployment Control
B004A	Third Row ימין Frontal Stage 2 Deployment Control	Third Row Right Frontal Stage 2 Deployment Control
B004B	Third Row ימין Frontal Stage 3 Deployment Control	Third Row Right Frontal Stage 3 Deployment Control
B0050	תקלה B0050 - Driver Seat Belt Sensor	Driver Seat Belt Sensor
B0051	תקלה B0051 - First Row Center Seat Belt Sensor	First Row Center Seat Belt Sensor
B0052	תקלה B0052 - Passenger Seat Belt Sensor	Passenger Seat Belt Sensor
B0053	Second Row שמאל Seat Belt Sensor	Second Row Left Seat Belt Sensor
B0054	תקלה B0054 - Second Row Center Seat Belt Sensor	Second Row Center Seat Belt Sensor
B0055	Second Row ימין Seat Belt Sensor	Second Row Right Seat Belt Sensor
